순번,API 통신방식,메뉴 위치,API 명,API ID,실전 TR_ID,모의 TR_ID,HTTP Method,URL 명,실전 Domain,모의 Domain
318,WEBSOCKET,[해외선물옵션]실시간시세,해외선물옵션 실시간체결내역통보,실시간-020,HDFFF2C0,모의투자 미지원,POST,/tryitout/HDFFF2C0,ws://ops.koreainvestment.com:21000,모의투자 미지원
319,REST,[장내채권] 주문/계좌,장내채권 매수주문,국내주식-124,TTTC0952U,모의투자 미지원,POST,/uapi/domestic-bond/v1/trading/buy,https://openapi.koreainvestment.com:9443,모의투자 미지원
320,REST,[장내채권] 주문/계좌,장내채권 매도주문,국내주식-123,TTTC0958U,모의투자 미지원,POST,/uapi/domestic-bond/v1/trading/sell,https://openapi.koreainvestment.com:9443,모의투자 미지원
321,REST,[장내채권] 주문/계좌,장내채권 정정취소주문,국내주식-125,TTTC0953U,모의투자 미지원,POST,/uapi/domestic-bond/v1/trading/order-rvsecncl,https://openapi.koreainvestment.com:9443,모의투자 미지원
322,REST,[장내채권] 주문/계좌,채권정정취소가능주문조회,국내주식-126,CTSC8035R,모의투자 미지원,GET,/uapi/domestic-bond/v1/trading/inquire-psbl-rvsecncl,https://openapi.koreainvestment.com:9443,모의투자 미지원
323,REST,[장내채권] 주문/계좌,장내채권 주문체결내역,국내주식-127,CTSC8013R,모의투자 미지원,GET,/uapi/domestic-bond/v1/trading/inquire-daily-ccld,https://openapi.koreainvestment.com:9443,모의투자 미지원
324,REST,[장내채권] 주문/계좌,장내채권 잔고조회,국내주식-198,CTSC8407R,모의투자 미지원,GET,/uapi/domestic-bond/v1/trading/inquire-balance,https://openapi.koreainvestment.com:9443,모의투자 미지원
325,REST,[장내채권] 주문/계좌,장내채권 매수가능조회,국내주식-199,TTTC8910R,모의투자 미지원,GET,/uapi/domestic-bond/v1/trading/inquire-psbl-order,https://openapi.koreainvestment.com:9443,모의투자 미지원
326,REST,[장내채권] 기본시세,장내채권현재가(호가),국내주식-132,FHKBJ773401C0,모의투자 미지원,GET,/uapi/domestic-bond/v1/quotations/inquire-asking-price,https://openapi.koreainvestment.com:9443,모의투자 미지원
327,REST,[장내채권] 기본시세,장내채권현재가(시세),국내주식-200,FHKBJ773400C0,모의투자 미지원,GET,/uapi/domestic-bond/v1/quotations/inquire-price,https://openapi.koreainvestment.com:9443,모의투자 미지원
328,REST,[장내채권] 기본시세,장내채권현재가(체결),국내주식-201,FHKBJ773403C0,모의투자 미지원,GET,/uapi/domestic-bond/v1/quotations/inquire-ccnl,https://openapi.koreainvestment.com:9443,모의투자 미지원
329,REST,[장내채권] 기본시세,장내채권현재가(일별),국내주식-202,FHKBJ773404C0,모의투자 미지원,GET,/uapi/domestic-bond/v1/quotations/inquire-daily-price,https://openapi.koreainvestment.com:9443,모의투자 미지원
330,REST,[장내채권] 기본시세,장내채권 기간별시세(일),국내주식-159,FHKBJ773701C0,모의투자 미지원,GET,/uapi/domestic-bond/v1/quotations/inquire-daily-itemchartprice,https://openapi.koreainvestment.com:9443,모의투자 미지원
331,REST,[장내채권] 기본시세,장내채권 평균단가조회,국내주식-158,CTPF2005R,모의투자 미지원,GET,/uapi/domestic-bond/v1/quotations/avg-unit,https://openapi.koreainvestment.com:9443,모의투자 미지원
332,REST,[장내채권] 기본시세,장내채권 발행정보,국내주식-156,CTPF1101R,모의투자 미지원,GET,/uapi/domestic-bond/v1/quotations/issue-info,https://openapi.koreainvestment.com:9443,모의투자 미지원
333,REST,[장내채권] 기본시세,장내채권 기본조회,국내주식-129,CTPF1114R,모의투자 미지원,GET,/uapi/domestic-bond/v1/quotations/search-bond-info,https://openapi.koreainvestment.com:9443,모의투자 미지원
334,WEBSOCKET,[장내채권] 실시간시세,일반채권 실시간체결가,실시간-052,H0BJCNT0,모의투자 미지원,POST,/tryitout/H0BJCNT0,ws://ops.koreainvestment.com:21000,모의투자 미지원
335,WEBSOCKET,[장내채권] 실시간시세,일반채권 실시간호가,실시간-053,H0BJCNT0,모의투자 미지원,POST,/tryitout/H0BJASP0,ws://ops.koreainvestment.com:21000,모의투자 미지원
336,WEBSOCKET,[장내채권] 실시간시세,채권지수 실시간체결가,실시간-060,H0BICNT0,모의투자 미지원,POST,/tryitout/H0BICNT0,ws://ops.koreainvestment.com:21000,모의투자 미지원
